CountryCode,CountryName,Continent,UNRegion,Language
AFG,Afghanistan,Asia,Southern Asia,"Dari, Pashto"
ALB,Albania,Europe,Southern Europe,Albanian
DZA,Algeria,Africa,Northern Africa,"Arabic, Berber"
ASM,American Samoa,Oceania,Polynesia,Unknown
AND,Andorra,Europe,Southern Europe,Catalan
AGO,Angola,Africa,Middle Africa,Portuguese
ATG,Antigua and Barbuda,America,Caribbean,Unknown
ARG,Argentina,America,South America,Spanish
ARM,Armenia,Asia,Western Asia,Armenian
AUS,Australia,Oceania,Australia and New Zealand,English
AUT,Austria,Europe,Western Europe,German
AZE,Azerbaijan,Asia,Western Asia,Azerbaijani
BHS,Bahamas,America,Caribbean,English
BHR,Bahrain,Asia,Western Asia,Arabic
BGD,Bangladesh,Asia,Southern Asia,Bengali
BRB,Barbados,America,Caribbean,English
BLR,Belarus,Europe,Eastern Europe,"Belarusian, Russian"
BEL,Belgium,Europe,Western Europe,"Dutch, French, German"
BLZ,Belize,America,Central America,English
BEN,Benin,Africa,Western Africa,French
BMU,Bermuda,America,Northern America,Unknown
BTN,Bhutan,Asia,Southern Asia,Dzongkha
BOL,Bolivia,America,South America,"Spanish, Quechua, Aymara, Guarani"
BIH,Bosnia and Herzegovina,Europe,Southern Europe,"Bosnian, Croatian, Serbian"
BWA,Botswana,Africa,Southern Africa,"English, Tswana"
BRA,Brazil,America,South America,Portuguese
BRN,Brunei,Asia,South-eastern Asia,Malay
BGR,Bulgaria,Europe,Eastern Europe,Bulgarian
BFA,Burkina Faso,Africa,Western Africa,French
BDI,Burundi,Africa,Eastern Africa,"Kirundi, French, English"
KHM,Cambodia,Asia,South-eastern Asia,Khmer
CMR,Cameroon,Africa,Middle Africa,"English, French"
CAN,Canada,America,Northern America,"English, French"
CPV,Cape Verde,Africa,Western Africa,Portuguese
CAF,Central African Republic,Africa,Middle Africa,"French, Sango"
TCD,Chad,Africa,Middle Africa,"French, Arabic"
CHL,Chile,America,South America,Spanish
CHN,China,Asia,Eastern Asia,Mandarin
COL,Colombia,America,South America,Spanish
COM,Comoros,Africa,Eastern Africa,"Comorian, Arabic, French"
COG,Congo,Africa,Middle Africa,Unknown
COK,Cook Islands,Oceania,Polynesia,Unknown
CRI,Costa Rica,America,Central America,Spanish
CIV,Cote d'Ivoire,Africa,Western Africa,Unknown
HRV,Croatia,Europe,Southern Europe,Croatian
CUB,Cuba,America,Caribbean,Spanish
